LISTE DES CENTRES DE LA PETITE ENFANCE ET GARDERIES EN FONCTION,,,,,,,,,,,,,
Mise à jour le 1er novembre 2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Nom de l'installation,Région administrative,Adresse,Municipalité,Code postal,Téléphone,Télécopieur,Adresse courriel,Type de service de garde,Places totales au permis,Places 17 mois ou moins,Place à contribution réduite,Coordonnées géographiques,ARTM
"CENTRE DE LA PETITE ENFANCE ""LA DOUCE COUVÉE""",16 - Montérégie,"545, rue Bonin",Acton Vale,J0H 1A0,(450) 546-5573,(450) 546-2018,infocpe@ladoucecouvee.ca,CPE,65,10,CR,,0
CENTRE À LA PETITE ENFANCE LES P'TITES FRIMOUSSES,16 - Montérégie,"1195, rue Ricard",Acton Vale,J0H 1A0,(450) 546-3314,,cpelesptitesfrimousses@gmail.com,CPE,80,10,CR,,0
CENTRE DE LA PETITE ENFANCE BAMBIN CLUB,16 - Montérégie,"255, rue Saint-Jean",Ange-Gardien,J0E 1E0,(450) 293-2226,(450) 293-4722,info@cpebambinclub.com,CPE,60,10,CR,,0
CPE BAMBIN CLUB -INSTALLATION ANGE-GARDIEN,16 - Montérégie,"336, rue Principale",Ange-Gardien,J0E 1E0,(450) 293-2226,(450) 293-4722,info@cpebambinclub.com,CPE,80,15,CR,,0
CENTRE DE LA PETITE ENFANCE BOBINO INC.,16 - Montérégie,"868, boulevard Cadieux",Beauharnois,J6N 2G2,(450) 429-4548,(450) 429-7754,gaetane.lessard@cpebobino.com,CPE,57,5,CR,,1
CPE BOBINO DE MELOCHEVILLE,16 - Montérégie,"54, rue Bourcier",Beauharnois,J6N 0J3,(450) 225-3553,(450) 225-3556,gaetane.lessard@cpebobino.com,CPE,47,5,CR,,1
CPE BOBINO-INSTALLATION TAPAGEUR,16 - Montérégie,"11, rue Saint-Joseph",Beauharnois,J6N 1Z3,(450) 429-7575,(450) 429-2214,gaetane.lessard@cpebobino.com,CPE,60,10,CR,,1
GARDERIE LES MINIS SPORTIFS INC.,16 - Montérégie,"281, chemin du Canal",Beauharnois,J6N 0H4,(450) 807-4400,,glmsi@videotron.ca,GARD,44,10,,,1
GARDERIE ZOOKAKOU 2,16 - Montérégie,"105-520, boulevard Cadieux",Beauharnois,J6N 0R5,(514) 754-6199,,garderiezookakou@hotmail.ca,GARD,75,15,,,1
ACADÉMIE PRÉSCOLAIRE ET SPORTIVE LES CAPUCINES INC.,16 - Montérégie,"353, rue Duvernay",Beloeil,J3G 5S8,(450) 536-1996,,apslescapucines@gmail.com,GARD,49,9,,,1
"AU PRÉSCOLAIRE MUSICAL, TRILINGUE ET VERT",16 - Montérégie,"66, rue Brunelle",Beloeil,J3G 2M7,(514) 701-4588,(450) 813-4519,auprescolaire@gmail.com,GARD,65,10,CR,,1
CENTRE DE LA PETITE ENFANCE JOUJOU,16 - Montérégie,"820, rue Borduas",Beloeil,J3G 5G8,(450) 467-0391,,Info@cpejoujou.ca,CPE,60,5,CR,,1
CENTRE DE LA PETITE ENFANCE JOUJOU,16 - Montérégie,"1056, rue Richelieu",Beloeil,J3G 4R2,"(450) 467-8281, poste 224",(450) 467-4078,Info@cpejoujou.ca,CPE,80,10,CR,,1
